,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
1178,Smart Impulse,Paris (75),France,Ingénieur / Chercheur en Deep Learning appliqué à l’efficacité énergétique des bâtiments (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Compétences techniques :Stack python scientifique (numpy, pandas, scipy) + Deep Learning (PyTorch, Keras ou TensorFlow),Mathématiques: traitement du signal,…"
1179,Stellantis,78300 Poissy,France,Cockpit Artificial Intelligence – Senior AI Research Scientist #SWX,,"Posted
Offre publiée il y a plus de 30 jours",You will be responsible for some of the following: · Advance our AI research program in collaboration with top tier academic partners · Develop our AI training…
1180,AIRBUS SAS,Toulouse (31),France,Data Scientist for A320 Efficiency Leader (M/F),,"Posted
Offre publiée il y a 10 jour","Define the business's data science talent needs (role definition, recruitment or subcontracting).
Answer to ad-hoc requests on data integration in skywise, data…"
1181,CEA,91120 Palaiseau,France,Ingénieur·e de recherche extraction d'information et data science,,"Posted
Aujourd'hui","Niveau Bac+5 ou Doctorat avec des connaissances en machine learning, deep learning et traitement automatique des langues,."
1182,Pernod Ricard,75380 Paris,France,Data Scientist M/F,,"Posted
Offre publiée il y a plus de 30 jours","Leverage existing or create new data science capabilities within Pernod-Ricard to bring value through business use cases.
Ability to understand business needs."
1183,EssilorLuxottica,Créteil (94),France,STAGE - Ingénieur Machine Learning - Développement d'un algorithme embarqué smart glasses H/F,,"Posted
Offre publiée il y a 15 jour","Avec plus de 180 000 employés dévoués dans 150 pays, au service de nos marques emblématiques, notre personnel est créatif, entreprenant et célébré pour ses…"
1184,Fideliz,75009 Paris,France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours",Connaissance des enjeux métiers marketing.
1185,Echo Analytics,Télétravail hybride à 75009 Paris,France,Data Analyst Intern,,"Posted
Offre publiée il y a 15 jour","You’ll be able to work on different types of data (geospatial data, trajectory data…) and use a large variety of tools (BigQuery, Looker, Python, Airflow)."
1186,Solina Group,Rennes (35),France,BI ENGINEER,,"Posted
Offre publiée il y a plus de 30 jours","Support business lines in their data processing needs.
Manage internal data projects in relation with stakeholders.
Provide Power BI support to internal users."
1187,Doctolib,Télétravail hybride à Paris (75),France,Stage - Data Quality Service (x/f/m),,"Posted
Offre publiée il y a 7 jour",Nous recherchons un(e) stagiaire Data Quality Operations Analyst pour renforcer notre équipe Data quality operations.
1188,Novencia,Lyon (69),France,Data Scientist (F/H),,"Posted
Offre publiée il y a plus de 30 jours","Novencia accompagne ses clients dans leurs projets de transformation digitale, technologique et data.
Expert en Data et Intelligence Artificielle nous aidons…"
1189,FOROIL,Champs-Elysées (75),France,Reservoir & Petroleum Engineers,,"Posted
Offre publiée il y a plus de 30 jours","Ensure full understanding of data measurement or calculation conditions.
Degrees Master or Bachelor degree with majors in Reservoir/Petroleum Engineering,…"
1190,Thales,78990 Élancourt,France,Ingénieur systèmes machine learning et IA F/H,,"Posted
Offre publiée il y a 26 jour","Développer des solutions de reconnaissance de cibles répondant au contexte opérationnel.
O En proposant des méthodes de type IA/Machine Learning dans un…"
1191,ey,92037 La Défense,France,Consultant stagiaire en data sciences F/H - Paris,,"Posted
Offre publiée il y a plus de 30 jours","Une équipe de plus de 130 consultants data, aux profils très divers, permettant de couvrir l’ensemble des problématiques et de s’enrichir mutuellement."
1192,S&P Global,75008 Paris,France,Internship Economic Research,,"Posted
Aujourd'hui","Programming on Econometric tools like R or Python or Stata is required .
Grade Level (for internal use): 05.
The successful candidate will be supervised by the…"
1193,McKinsey & Company,75008 Paris,France,Data Science Intern - QuantumBlack (final year 6-month internship),,"Posted
Offre publiée il y a plus de 30 jours","6+ months of professional, commercial experience leveraging statistical approaches including advanced machine learning techniques (e.g., data science, support…"
1194,LCL,94811 Villejuif,France,IA Data Engineering H/F,,"Posted
Offre publiée il y a plus de 30 jours","Expérience dans la conception et la mise en œuvre de data pipelines sur des projets NLP et Computer Vision.
IA Data Engineering H/F.
Bac + 5 / M2 et plus."
1195,COFIDIS,Villeneuve-d'Ascq (59),France,DATA ANALYST (H/F),,"Posted
Offre publiée il y a plus de 30 jours","L’excellence relationnelle, en créant une relation à distance sans distance.
Aujourd’hui, Cofidis est un acteur majeur du crédit à la consommation dans 9 pays d…"
1196,Synopsia Ingénierie,75002 Paris,France,Data Scientit,,"Posted
Offre publiée il y a plus de 30 jours","Vous serez en charge des traitements analytiques avancés répondant à des cas d'usage transverses.
Comprendre les problématiques des directions métiers et…"
1197,Crédit Agricole Leasing & Factoring,92120 Montrouge,France,Data Scientist H/F,,"Posted
Offre publiée il y a plus de 30 jours","Une première expérience réussie dans la data science est attendue.
Le poste à pourvoir est situé dans l’équipe data science du département marketing &…"
1198,Groupe Aptenia,Lyon (69),France,Data Engineer / Data Mining (IT) / Freelance,,"Posted
Offre publiée il y a 7 jour","Airflow, MLFLOW, DOCKER, Python, PostgreSQL, Git."
1199,SFR,Paris (75),France,Data Ingénieur(e) - Intelligence de la donnée,,"Posted
Offre publiée il y a plus de 30 jours","Compétences Statistiques, Big Data, IA & machine learning.
Vous intégrez la Direction Transformation, Risques & Pilotage en qualité de Data Ingénieur(e)."
1200,Maersk,Tanger,Maroc,IT L2 Support,,"Posted
Offre publiée il y a plus de 30 jours","Prior experience in a similar role or internship is advantageous.
Familiarity with ITIL or IT service management frameworks is essential."
1201,,,Maroc,Data Scientist,,,
1202,,,Maroc,,,,
1203,,,Maroc,,,,
1204,,,Maroc,,,,
1205,,,Maroc,,,,
1206,,,Maroc,,,,
1207,,,Maroc,,,,
1208,,,Maroc,,,,
1209,,,Maroc,,,,
1210,,,Maroc,,,,
1211,,,Maroc,,,,
1212,,,Maroc,,,,
1213,Stellantis,Casablanca,Maroc,Senior Software Engineer – Perception – Radar / Machine Learning H/F,,"Posted
Offre publiée il y a plus de 30 jours","Career Area: Software Electric & Electronics.
Date Posted: March 2, 2023.
We are looking for technology game changers to transform Stellantis into a software…"
1214,Trusted Advisors,Casablanca,Maroc,Data Analyst (REF05),,"Posted
Offre publiée il y a plus de 30 jours","Expert en Data science, Data Analysis, Data modélisation et visualisation.
Nous recherchons pour le compte d'une banque de la place à Casablanca, un Data…"
1215,Leyton Maroc,Casablanca,Maroc,Product Owner Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Experience identifying opportunities for data science: - Machine Learning and Analytics.
Breaking down and refining these requirements for the data science team…"
1216,Ecole HEEC Marrakech,Marrakech,Maroc,Des enseignants chercheurs permanents,Temps plein,"Employer
Employeur actif il y a 3 jours","Prendre en charge les cours se rapportant aux matières en relation avec leurs spécialités.
Contribuer activement aux activités du Centre de Recherche de l’école…"
1217,Bénin Digital,Casablanca,Maroc,DATA ANALYSTE DES OFFRES NUMERIQUES - H/F,Temps plein,"Employer
Employeur actif il y a 13 jours","L’accompagnement et le coaching des équipes internes sur l’intégration de la data dans leur processus de décision et de priorisation (AT Internet, eStat ,…"
1218,Maersk,Tanger,Maroc,Planning Solutions Product Owner,,"Posted
Offre publiée il y a 23 jour","A master's degree in science.
Gather and analyze feedback from users to make data-driven decisions for future iterations."
1219,IBM,Casablanca,Maroc,Data Engineer - Internship,Stage,"Posted
Aujourd'hui","End-to-end data handling, management and analytics processes.
Creating the pipeline for data processing, data visualization, and analytics products, including…"
1220,BROME Consulting & Technology,Casablanca,Maroc,Senior data scientist,Profession libérale,"Posted
Offre publiée il y a plus de 30 jours","Construire des modèles Machine learning & Intelligence Artificielle : collecter la data, développer et entrainer le modèle, tester et évaluer les résultats."
1221,Ippon Technologies,Marrakech,Maroc,FP&A Data Analyst (H/F),Temps plein,"Posted
Offre publiée il y a plus de 30 jours",Vous maîtrisez Excel ou Google Sheet sur le bout des doigts et vous connaissez les outils de CRM (Salesforce) de data lake (Snowflake) et de dashboard (Tableau)…
1222,International Organization for Migration,Rabat,Maroc,Programme Officer (AVRR),,"Posted
Offre publiée il y a 6 jour","Processing, training or other fee).
Individuals, or issues related to international cooperation.
Which may include written and/or oral assessments."
1223,ML link,Casablanca,Maroc,Téléopérateurs / commerciaux sédentaires ( avec ou sans expérience ),"Temps plein
+1","Employer
Employeur actif il y a 16 jours","ML Link est à la recherche de commerciaux sédentaires / téléopérateurs avec ou sans expérience.
Si vous avez la fibre commerciale , Ml Link vous offre le poste…"
1224,TELUS,Maroc,Maroc,Expert Rater,,"Posted
Offre publiée il y a plus de 30 jours","Google AI learning path - Desirable.
An academic background in any social science would be a plus.
Understanding of data labeling, annotation, and evaluation…"
1225,GLOBO PEOPLE,Tanger,Maroc,senior full stack developer,"Temps plein
+1","Employer
Employeur actif il y a 3 jours","✔proven experience as a Full Stack Developer or similar role(6 years or above).
✔Create security and data protection settings.
✔Familiarity with common stacks."
1226,WELINK,Rabat,Maroc,Administrateur Big Data / Cloudera,Profession libérale,"Posted
Offre publiée il y a plus de 30 jours","La connaissance de la science des données et de l'apprentissage automatique est également un atout.
Pour le compte de notre client, multinationale spécialisée…"
1227,Itelsys,Rabat,Maroc,Offre stage pfe : technologies du web,Intérim,"Posted
Offre publiée il y a plus de 30 jours","ITELSYS est composée d’une équipe de 50 collaborateurs dédiée aux métiers de la Transformation Digitale , nous sommes une équipe composée de personnes à la fois…"
1228,Boston Consulting Group,nouveau,Maroc,(Senior) Data Analyst - X Delivery,,"Posted
Offre publiée il y a 1 jour","Bachelor's / Master's degree related to computer science, data engineering, data science, statistics, mathematics, or economics is required."
1229,Leoni,Bouznika,Maroc,TL Test Technology Workshop,,"Posted
Offre publiée il y a plus de 30 jours","LEONI ensures the compliance with data protection.
Graduated from electrical / mechanical / engineering or similar fields."
1230,Golden Bay Media,Tanger,Maroc,Graphic & Web Designer,"Temps plein
+1","Posted
Offre publiée il y a plus de 30 jours","Interpret data and research to be more digestible through illustration, typesetting, or charts.
Bachelor/Master degree in Graphic Design or equivalent education…"
