,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
1740,Sonae,Porto,Portugal,DATA ARCHITECT (M/F),,"Posted
Anunciada há 13 dias","Design scalable data processing and analytics solutions for big data storage, processing, and consumption;
Passion for technology and for learning;",18-01-2024
1741,Vodafone,Lisboa,Portugal,Digital Analytics Expert,,"Posted
Anunciada há 2 dias","The role may require the importing, cleaning, transforming, validating or modelling of data with the purpose of understanding or making conclusions from the…",18-01-2024
1742,Veeva Systems,Lisboa,Portugal,Data Steward Supervisor - Polish Speaker,,"Posted
Anunciada há 30 dias","Previous experience or interest in data, databases.
Experience working with MDM (master data management applications).
Lead a team of 8 to 15 Data Stewards.",18-01-2024
1743,OutSystems,Remoto,Portugal,Lead Developer,,"Posted
Anunciada há 2 dias","Bachelor's degree in computer science, software engineering, or a related field (Master's degree preferred).
Continuously enhance technical skills and knowledge…",18-01-2024
1744,Airbus,Remoto híbrido in Lisboa,Portugal,Supply Chain Manufacturing Engineer,,"Posted
Anunciada há mais de 30 dias","The team is responsible for a large number of central purchasing activities, supply chain quality and other activities like process management, data analytics…",18-01-2024
1745,Hovione,Remoto híbrido in Lisboa,Portugal,Principal Analytical Scientist,,"Posted
Anunciada há mais de 30 dias","PhD in Organic Chemistry or in similar Chemistry/Biochemistry/Health Sciences fields.
Lead to the development of new products and services for Hovione and/or…",18-01-2024
1746,Orbis,Porto,Portugal,Senior Software Developer,,"Posted
Anunciada há 2 dias","Technically educate more junior software/data/analytics engineers, review code and provide guidance.
Expertise in machine learning algorithms, recommendation…",18-01-2024
1747,COFCO International North America,Porto,Portugal,Sourcing Data Engineer (Temporary 8 months),,"Posted
Anunciada há 7 dias","Develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling;
Build and maintain data systems;",18-01-2024
1748,Nestle Operational Services Worldwide SA,Remoto híbrido in Linda-a-Velha,Portugal,CRM Expert,,"Posted
Anunciada há 18 dias","Ability to analyze campaign performance data and provide recommendations based on insights.
E-learning courses and training program to get you where you aim to…",18-01-2024
1749,SAP,Remoto híbrido in Porto Salvo,Portugal,"Senior SAP Basis Consultant- Lisbon, Portugal",,"Posted
Anunciada há 20 dias","Understand the SAP high availability or disaster recovery architecture, network and virtual technologies (load-balancer, virtual machine).",18-01-2024
1750,iBET,Oeiras,Portugal,Research Fellowship (MSc),,"Posted
Anunciada há 8 dias","MSc degree in biological/biomedical engineering or equivalent, lowest grade (17/20).
IBET, has an open position for a research fellowship in the field of…",18-01-2024
1751,Efficio Consulting,Lisboa,Portugal,(Internal) Senior Data Scientist - Lisbon,,"Posted
Anunciada há mais de 30 dias","Develop data models with the latest machine learning technologies in supervised and unsupervised settings.
Processing, cleansing, and verifying the integrity of…",18-01-2024
1752,BAXTER,Sintra,Portugal,Data Management & Analytics Kidney Care EMEA Sr Specialist,,"Posted
Anunciada há 26 dias","Experience in Health care Sector (nice to have) - passion for data crunching and data mining.
Support and / or Lead Analytics Projects to create Dashboards in…",18-01-2024
1753,Novasyte,Porto Salvo,Portugal,Analyst - Analytics and Consulting (m/f/d),,"Posted
Anunciada há 28 dias","Bachelor’s or Master’s degree with a strong academic track record in engineering, economics or business administration, and life sciences related programs.",18-01-2024
1754,Veeva Systems,Lisboa,Portugal,Data Engineer - Scoring - Veeva Link,,"Posted
Anunciada há mais de 30 dias","This role requires a solid understanding of data analytics.
Work with Python on Spark-based data pipelines (pyspark, SparkSQL).",18-01-2024
1755,Michael Page,Remoto in Porto,Portugal,Data Architect,,"Posted
Anunciada há mais de 30 dias","Define data governance and data architecture.
Create industry-standard data models.
Implement access management and data security.",18-01-2024
1756,IQVIA,Oeiras,Portugal,"Director, Information Security Risk Management",,"Posted
Anunciada há mais de 30 dias","Bachelor's Degree Computer Science, a related field, or equivalent experience required.
The successful candidate will play an integral role in developing the…",18-01-2024
1757,Multitempo,Lisboa,Portugal,ASSISTENTE ADMINISTRATIVO,,"Posted
Anunciada há 8 dias","Vencimento base: 820€ + Subsídio Alimentação: 8,32€ /dia.",18-01-2024
1758,Michael Page,Remoto in Porto,Portugal,Backend Engineer (Node),,"Posted
Anunciada há mais de 30 dias","Degree or Master's degree in Computer Science, Management Informatics, or a related field.
Experience with SQL and NoSQL data stores, particularly MongoDB.",18-01-2024
1759,Switch Payments,Porto,Portugal,Security and Compliance Analyst,,"Posted
Anunciada há mais de 30 dias","Have a technical degree, preferably in the fields of Software Engineering or Computer Science, as all documentation will be highly technical;",18-01-2024
1760,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Senior Data Analyst,,"Posted
Anunciada há mais de 30 dias","Support and monitor the run of these activities of data analysis, reporting and data mining.
Up to 4 years in Data Analysis or similar roles.",18-01-2024
1761,Growin - Know to grow,Remoto híbrido in Porto,Portugal,Data Engineer,,"Posted
Anunciada há 20 dias","Familiarity with Cloud data platforms (like AWS, Azure, Google).
Experience in data integration/ETL tools (such as SSIS, Talend, ODI, Informatica, Datastage).",18-01-2024
1762,Multitempo,Vila do Conde,Portugal,ASSISTENTE ADMINISTRATIVO(A) - VILA DO CONDE,,"Posted
Anunciada há mais de 30 dias","12º ano / frequência ou curso universitário será valorizad0;
Prática e facilidade de utilização de ferramentas informáticas tais como Excel e Power Point, MS…",18-01-2024
1763,KCS IT,Remoto híbrido in Porto,Portugal,Data Engineer,,"Posted
Anunciada há 6 dias","Proficiency in programming languages such as Python, Java, or Scala;
Bachelor's degree in Computer Science, Software Engineering, or a related field;",18-01-2024
1764,IQVIA,Oeiras,Portugal,International Project Support Team Coordinator,,"Posted
Anunciada há mais de 30 dias","Able to share experience and learning, able to priorities and liaise with field staff and customers effectively.
Ensure that systems are updated accordingly.",18-01-2024
1765,Michael Page,Remoto in Porto,Portugal,Senior Front-end Engineer,,"Posted
Anunciada há mais de 30 dias","Proficiency on Git or similar Source Control systems.
Strong understanding of Microservice or similar architecture is a plus.",18-01-2024
1766,DSV,Lisboa,Portugal,Data Engineer,,"Posted
Anunciada há mais de 30 dias","Bachelor’s or Master’s degree in Computer Sciences.
Refine and promote our agile delivery framework to help ensuring high quality and flexible deliverables on…",18-01-2024
1767,NOS Comunicações,Porto,Portugal,Oportunidades de carreira: Auditor Interno de Processos | Porto (3372),,"Posted
Anunciada há 14 dias","Acreditamos no poder da tecnologia para combater os desafios ambientais e sociais que enfrentamos.
No sentido de continuar a garantir e fazer evoluir os…",18-01-2024
1768,Altar.io,Remoto híbrido in Lisboa,Portugal,Free Application,,"Posted
Anunciada há 15 dias","With us, you’ll help entrepreneurs and business leaders build innovative products that transform their industries, from early-stage MVPs to disruptive satellite…",18-01-2024
1769,Synopsys,Porto,Portugal,Senior Technical Writer,,"Posted
Anunciada há mais de 30 dias","Degree or masters in any electronics, science, hardware, computing, software, physics, mathematics, or engineering discipline.",18-01-2024
1770,Mastercard,Lisboa,Portugal,"Associate Consultant Intern, Summer Internship Program 2024 - Lisbon, Portugal",,"Posted
Anunciada há mais de 30 dias","Translate data into insights leveraging Mastercard and client data.
Report any suspected information security violation or breach, and.",18-01-2024
1771,Continental,Remoto híbrido in Porto,Portugal,HR Data Analyst,,"Posted
Anunciada há 1 dias","Take over data wrangling, data pipelines and dashboard development projects.
Stay up to date with analytics methods and technologies for reporting and analytics…",18-01-2024
1772,L'Oreal,Lisboa,Portugal,Activation Manager GTM Consumer Products Division,,"Posted
Anunciada há 23 dias","Analytical: you can support your opinions and convictions with data.
Knowledge of sell-out and shopper data panels: Nielsen and Kantar.",18-01-2024
1773,"Hottinger, Bruel & Kjaer",Maia,Portugal,Senior Business Intelligence (BI) Analyst,,"Posted
Anunciada há mais de 30 dias","In-depth expertise in data warehousing, ETL processes, data modeling, and advanced analytics techniques.
Data Modeling Expertise: Design and implement complex…",18-01-2024
1774,Amgen,Lisboa,Portugal,Italian Speaking Document Controller Coordinator,,"Posted
Anunciada há mais de 30 dias","University Degree, preferably in business or a science-based subject.
1+ years of experience in a similar role or administrative one, supporting teams at…",18-01-2024
1775,Multitempo,Lisboa,Portugal,TECNICO DE TRAFEGO E ASSISTENCIA EM ESCALA,,"Posted
Anunciada há 9 dias","Referência 0000004557 Localidade LISBOA Detalhes Quais serão as tuas funções? - Prestar assistência em terra a passageiros desde que entram no aeroporto,…",18-01-2024
1776,LOQR,Remoto híbrido in Porto,Portugal,Product Manager,,"Posted
Anunciada há mais de 30 dias","Degree in Computer Science, Engineering, or a related field.
Ensure the existence of data that can be used to prioritize and evaluate relevant metrics;",18-01-2024
1777,Manning Global,Oeiras,Portugal,Safety Content Rater,,"Posted
Anunciada há mais de 30 dias","Experience/ or being comfortable working on sensitive/objectionable content - Writing experience in the fields of tech writing, copywriting, journalism,…",18-01-2024
1778,Maersk,Porto,Portugal,Data Engineer,,"Posted
Anunciada há 13 dias","Hands on experience in Azure, preferably data heavy / analytics applications leveraging relational and NoSQL databases, data warehouse and big data.",18-01-2024
1779,Amgen,Lisboa,Portugal,Spanish Speaking Document Controller Coordinator,,"Posted
Agora mesmo","University Degree, preferably in business or a science-based subject.
1+ years of experience in a similar role or administrative one, supporting teams at…",18-01-2024
1780,BNP Paribas,Remoto híbrido in Lisboa,Portugal,FRESH EMEA - IT Job Opportunities,,"Posted
Anunciada há mais de 30 dias","Education Level: Bachelor Degree or equivalent (>= 3 years).
University Graduate in Computer Science, Engineering, Accounting, Finance or Business…",18-01-2024
1781,Noesis,Lisboa,Portugal,Data Analyst,,"Posted
Anunciada há mais de 30 dias","Degree in Computer Science or similar;
Knowledge of advanced data visualization tools (PowerBI);
Minimum of 5 years of experience as a Data Analyst;",18-01-2024
